ProbeID	ESJ1	isp2	ESJ1	isp2
1415811_at	1666.5	2949.9	P	P
1415812_at	1077.1	730.1	P	P
1415813_at	4349.7	3638.2	P	P
1415814_at	5196.5	3929.3	P	P
1415815_at	29.1	33	A	A
1415816_at	13666.6	12877.9	P	P
1415817_s_at	7401.3	7322.1	P	P
1415818_at	900	941.4	P	P
1415819_a_at	4007	5290.9	P	P
1415820_x_at	7955.8	8146	P	P
1415821_at	3591.8	3583.7	P	P
1415822_at	12908.9	7533.9	P	P
1415823_at	3958.6	3352.6	P	P
1415824_at	817.3	1046.6	P	P
1415825_s_at	734.3	1493.1	P	P
1415826_at	1712.4	2504.4	P	P
1415827_a_at	2905.5	2050.6	P	P
1415828_a_at	4038.3	2644.7	P	P
1415829_at	8437.4	8163.9	P	P
1415830_at	2918.2	3565.9	P	P
1415831_at	7022.9	6800.9	P	P
1415832_at	71.9	2.5	P	A
1415833_x_at	24407	24779.5	P	P
1415834_at	2342.6	3027.3	P	P
1415835_at	15.8	10.6	A	A
1415836_at	713	1980.7	P	P
1415837_at	105.4	103.1	P	P
1415838_at	2605.3	2282.1	P	P
1415839_a_at	28760.5	28282.7	P	P
1415840_at	4433	4497.2	P	P
1415841_at	2929.4	2276.1	P	P
1415842_at	249.5	408.8	P	P
1415843_at	159.2	341.1	P	P
1415844_at	50.6	91.9	A	A
1415845_at	60.2	148.8	A	P
1415846_a_at	54.3	97.2	P	P
1415847_at	85.5	177.5	A	P
1415848_at	115.4	67.5	A	A
1415849_s_at	13617	9741.5	P	P
1415850_at	185.2	246.2	A	M
1415851_a_at	11014	9179.9	P	P
1415852_at	11017.6	11050.7	P	P
1415853_at	732.1	1961.3	P	P
1415854_at	35.1	26.6	A	P
1415855_at	244.6	107.1	P	P
1415856_at	4380.1	3299.7	P	P
1415857_at	8102.4	6583.5	P	P
1415858_at	11035.3	11567	P	P
1415859_at	4269	4237.5	P	P
1415860_at	16165	12664.6	P	P
1415861_at	6	1.7	A	A
1415862_at	32.9	18	P	A
1415863_at	11123.6	12234	P	P
1415864_at	479.3	442.6	P	P
1415865_s_at	610.4	442.6	P	P
1415866_at	243.5	271.2	P	P
1415867_at	15719.4	14248	P	P
1415868_at	106.6	190.8	A	P
1415869_a_at	12413.4	15085.7	P	P
1415870_at	2693.3	2969.8	P	P
1415871_at	49.7	62.6	P	P
1415872_at	8883	9843.6	P	P
1415873_a_at	1802.7	1614.1	P	P
1415874_at	1038.1	696.2	P	P
1415875_at	215.1	30.7	P	A
1415876_a_at	19848.5	18736	P	P
1415877_at	268.1	310.7	P	P
1415878_at	4563.7	3859.5	P	P
1415879_a_at	27052.5	28467.2	P	P
1415880_a_at	6988.1	7327	P	P
1415881_at	1897.5	4724.9	P	P
1415882_at	2981.1	8270.5	P	P
1415883_a_at	8.5	4.2	A	A
1415884_at	187.5	126.7	M	A
1415885_at	10.3	8.7	A	A
1415886_at	107.9	194.5	P	P
1415887_at	4672.2	4324.3	P	P
1415888_at	2977.7	6564.3	P	P
1415889_a_at	9255.2	8792.4	P	P
1415890_at	716.5	702.1	P	P
1415891_at	4131.6	4379.3	P	P
1415892_at	675.5	1352.6	P	P
1415893_at	236.1	887	P	P
1415894_at	286	137.7	P	P
1415895_at	11577	6356.1	P	P
1415896_x_at	6465.9	4237.6	P	P
1415897_a_at	861.5	482.8	P	P
1415898_at	4.6	10.7	A	A
1415899_at	790.7	696.8	P	P
1415900_a_at	236	394	A	P
1415901_at	944.4	1090.7	A	P
1415902_at	5.9	1.7	A	A
1415903_at	1396.8	2135.9	P	P
1415904_at	603.4	194.6	P	P
1415905_at	33.1	15.7	A	A
1415906_at	13822.7	13139	P	P
1415907_at	2570.3	4603	P	P
1415908_at	1188.6	986.2	P	P
1415909_at	6638.3	6489.6	P	P
1415910_s_at	5662.7	2283.6	P	P
1415911_at	1528.3	1162.3	P	P
1415912_a_at	14613.8	15461.4	P	P
1415913_at	722.7	645.2	P	P
1415914_at	16124.4	13934.5	P	P
1415915_at	7116.5	6766.8	P	P
1415916_a_at	7302	8807.1	P	P
1415917_at	4122.5	6810.2	P	P
1415918_a_at	14121.3	10797.1	P	P
1415919_at	593.3	539	P	P
1415920_at	2869.5	3597.5	P	P
1415921_a_at	99.7	68.5	M	P
1415922_s_at	6131.8	6604.4	P	P
1415923_at	1019.1	565.2	P	P
1415924_at	5.6	7.9	A	A
1415925_a_at	4660	5689.9	P	P
1415926_at	5643.1	7083.7	P	P
1415927_at	233	4.5	P	A
1415928_a_at	4385.9	2887.3	P	P
1415929_at	2557	2101.5	P	P
1415930_a_at	7476.1	4729.5	P	P
1415931_at	42.5	5.2	A	A
1415932_x_at	158.7	735.6	P	P
1415933_a_at	18969.7	16727.9	P	P
1415934_at	1993.3	1905.8	P	P
1415935_at	40.8	70.4	A	P
1415936_at	597.4	684.5	P	P
1415937_s_at	228.9	364.5	P	P
1415938_at	601.9	264.6	P	P
1415939_at	99	81.3	A	A
1415940_at	366	781.6	P	P
1415941_s_at	174.2	243.2	P	P
1415942_at	22145.9	21942.1	P	P
1415943_at	1014.9	853.2	P	P
1415944_at	257.3	152.7	P	P
1415945_at	5975.7	4927	P	P
1415946_at	705	1330.6	P	P
1415947_at	428.2	510.2	P	P
1415948_at	98.2	146	A	P
1415949_at	1563.5	767.4	P	P
1415950_a_at	5121.5	7645.5	P	P
1415951_at	434.4	370.7	P	P
1415952_at	549.8	975.1	P	P
1415953_s_at	205.1	308.5	P	P
1415954_at	2.7	21.1	A	A
1415955_x_at	50.5	26.2	A	A
1415956_a_at	892.9	1255.6	P	P
1415957_a_at	2151.4	2160	P	P
1415958_at	158.2	179.3	A	A
1415959_at	9.4	74.6	A	A
1415960_at	31.3	14.5	A	A
1415961_at	1862.9	1286.5	P	P
1415962_at	10311.6	8255.6	P	P
1415963_at	3131.3	3495.2	P	P
1415964_at	1672.7	1642.7	P	P
1415965_at	1004.5	793.5	P	P
1415966_a_at	3438.1	3279	P	P
1415967_at	5414.6	5712.1	P	P
1415968_a_at	180.6	107.9	P	P
1415969_s_at	9.5	8.9	A	A
1415970_at	13031.5	12525.3	P	P
1415971_at	5765	2467.1	P	P
1415972_at	1240.9	940.9	P	P
1415973_at	1705.4	979.3	P	P
1415974_at	1011	1656.1	P	P
1415975_at	614.1	605	P	P
1415976_a_at	788.3	561.7	P	P
1415977_at	2753.7	3559.7	P	P
1415978_at	574.7	372.5	P	P
1415979_x_at	25019.8	23040.9	P	P
1415980_at	8207.5	8091.8	P	P
1415981_at	1163.4	1522.4	P	P
1415982_at	409.3	537.9	P	P
1415983_at	35.7	45.9	A	P
1415984_at	5536.4	3961.2	P	P
1415985_at	5557	5326.1	P	P
1415986_at	260.2	227.8	P	P
1415987_at	2234.4	2026.1	P	P
1415988_at	460.8	829.8	P	P
1415989_at	117.6	140.5	P	P
1415990_at	11267.2	11004.8	P	P
1415991_a_at	4873.1	2941.9	P	P
1415992_at	344	733.1	P	P
1415993_at	3880.2	2682.4	P	P
1415994_at	18.9	28.3	A	A
1415995_at	549.6	340.4	P	P
1415996_at	3193.2	8131.9	P	P
1415997_at	2072.4	7149.1	P	P
1415998_at	7999.6	9372.2	P	P
1415999_at	154.7	139.6	A	A
1416000_a_at	23141.1	21989.7	P	P
1416001_a_at	518	580.8	A	A
1416002_x_at	274.1	487.7	P	P
1416003_at	4.7	4.2	A	A
1416004_at	5937.3	5703.3	P	P
1416005_at	4615	3812.2	P	P
1416006_at	4633.9	2763.9	P	P
1416007_at	239.9	177.4	P	P
1416008_at	592.5	217.4	P	P
1416009_at	3088.1	2796.2	P	P
1416010_a_at	2377.2	1938.8	P	P
1416011_x_at	1485.1	2886.8	P	P
1416012_at	184.3	271.3	A	P
1416013_at	509.9	1052	P	P
1416014_at	4585	4002.3	P	P
1416015_s_at	4998.6	4469.3	P	P
1416016_at	183	140.8	A	P
1416017_at	488.6	715.7	P	P
1416018_at	1637.6	1374.5	P	P
1416019_at	827.3	775.6	P	P
1416020_a_at	5431.8	4048.6	P	P
1416021_a_at	11198.2	3369.5	P	P
1416022_at	3314.3	1059.2	P	P
1416023_at	2622.2	7968.7	P	P
1416024_x_at	16113.6	14301.8	P	P
1416025_at	9.9	70.4	A	M
1416026_a_at	21867.2	22095.1	P	P
1416027_at	3644.5	3036.2	P	P
1416028_a_at	3381.6	1654.5	P	P
1416029_at	2201.1	5274.4	P	P
1416030_a_at	6983.6	10310.1	P	P
1416031_s_at	5880	7370.1	P	P
1416032_at	208.5	704	P	P
1416033_at	47.1	107.5	A	P
1416034_at	4398.9	1201.1	P	P
1416035_at	732.7	1086	P	P
1416036_at	5312.6	5006.6	P	P
1416037_a_at	14031.3	12988	P	P
1416038_at	1587.3	1685.1	P	P
1416039_x_at	2477.2	1449.3	P	P
1416040_at	8.2	12.7	A	A
1416041_at	11150.7	11387.5	P	P
1416042_s_at	8433.7	7790.4	P	P
1416043_at	3674.6	3391.7	P	P
1416044_at	783.7	770.9	P	P
1416045_a_at	2199.9	2191.4	P	P
1416046_a_at	305.4	529.7	P	P
1416047_at	29.7	18.1	A	A
1416048_at	582.9	894.1	P	P
1416049_at	3460.4	4558.8	P	P
1416050_a_at	888.3	1458.8	P	P
1416051_at	85.9	107.4	A	P
1416052_at	6354	6548.1	P	P
1416053_at	49.8	69.5	A	A
1416054_at	21076	20219.1	P	P
1416055_at	10.6	7.3	A	A
1416056_a_at	7004.1	4845.8	P	P
1416057_at	3798.4	3761.4	P	P
1416058_s_at	15106.1	12152.8	P	P
1416059_at	4248.8	2866.1	P	P
1416060_at	3798.5	5941.7	P	P
1416061_at	2389.9	4032.7	P	P
1416062_at	947.4	1095.7	P	P
1416063_x_at	13.6	9.6	A	A
1416064_a_at	13027	7555.2	P	P
1416065_a_at	6085.8	3060.8	P	P
1416066_at	5308.2	4269.7	P	P
1416067_at	3094.6	4090.6	P	P
1416068_at	8582.8	7089.8	P	P
1416069_at	2789.6	3904.6	P	P
1416070_a_at	2651.4	2092.9	P	P
1416071_at	6049.9	6171	P	P
1416072_at	154.4	55.6	P	A
1416073_a_at	3055.4	3351	P	P
1416074_a_at	21893	24596.5	P	P
1416075_at	430.9	483.3	P	P
1416076_at	8866.8	6562.5	P	P
1416077_at	190.6	106.3	P	P
1416078_s_at	2125.4	2112.2	P	P
1416079_a_at	1170.3	1478.3	P	P
1416080_at	43.5	72.4	A	P
1416081_at	433.1	299.6	P	P
1416082_at	14811.4	12742.6	P	P
1416083_at	4157.8	3681.2	P	P
1416084_at	790.7	723.5	P	P
1416085_s_at	3629.3	3159.3	P	P
1416086_at	474.6	721	P	P
1416087_at	1090	1101.5	P	P
1416088_a_at	17407.1	17187	P	P
1416089_at	15880.2	16605.7	P	P
1416090_at	6854.4	8096	P	P
1416091_at	679.5	746.3	P	P
1416092_a_at	1040	1765.7	P	P
1416093_a_at	2357.9	1918.5	P	P
1416094_at	1273.2	1409.6	P	P
1416095_x_at	8514.6	7996	P	P
1416096_at	651.9	681.1	P	P
1416097_at	3.4	10.4	A	A
1416098_at	167.9	157.9	P	P
1416099_at	24753.3	21758.4	P	P
1416100_at	10108	9964.6	P	P
1416101_a_at	831.4	702.3	P	P
1416102_at	5025.2	3876.5	P	P
1416103_at	1745.3	618.8	P	P
1416104_at	1638.8	2537.4	P	P
1416105_at	1131.2	843.3	P	P
1416106_at	1965.8	2073.2	P	P
1416107_at	57.8	138.6	A	A
1416108_a_at	428.1	393.2	P	P
